#
# Partners Country Offer info
#
# This file controls which Offer may be send to a customer, based on that
# customer's billing country and the Partner status of the sending user.
#
# Important note: billing_country+offer_level form the primary key to
# the entries and thus must be unique. Please retain this sort ordering.
#
# Fields:
# offer_type: Either OT_SPEND_X_GET_Y or OT_VIDEO
# billing_country: The 2 letter code for the customer's billing country
# offer_level: There should be a BASIC and a PARTNER for each country
# campaign_id: Campaign id ("Group ID") in incentives.
# auth_key: Authorization key for this campaign_id. Should always be 143900 for Partners.
# pre_currency_symbol: Symbol to place before the monetary amount
# post_currency_symbol: Symbol to place after the monetary amount
# spend_x_amount: Amount customer must spend
# get_y_amount: Amount customer receives
# currency_code: Code for the currency
# max_account_age: How young the customer account must be.
# expiration_date: When the offer expires
#
# See //java/com/google/partners/util/CountryOfferInfoLineParser.java for further details
# on the expected format of this file. Within an offer_level, every line should have
# the save value for campaign_id, auth_key and max_account_age.
#
# For formatting convenience, extra spaces may trail the separating commas if the
# field values are enclosed in double quote.
#
# Country codes are found in //java/com/google/partners/ui/service/geo/Country.java.
#
# Basic AdWords incentives are defined at   https://incentives.corp.google.com/#/groups/104301/details/none/none
# Partner AdWords incentives are defined at https://incentives.corp.google.com/#/groups/103503/details/none/none
#
# .. except for CA, which now has separate campaigns:
# Canada basic:    https://incentives.corp.google.com/#/groups/110704/details/none/none
# Canada Partners: https://incentives.corp.google.com/#/groups/111206/details/none/none
#
# Video incentives are currently available for US only:
#   https://incentives.corp.google.com/#/groups/120807/details/none/none
#
# Currently we support 67 countries.
#
offer_type,billing_country,offer_level,campaign_id,auth_key,pre_currency_symbol,post_currency_symbol,spend_x_amount,get_y_amount,currency_code,max_account_age,expiration_date
"OT_SPEND_X_GET_Y","LK","PARTNER","103503","143900",   "$",    "",        "15",    "45",   "USD","21","12/31/2015"
"OT_SPEND_X_GET_Y","LT","BASIC",  "104301","143900",    "",   "€",        "15",    "45",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","LT","PARTNER","103503","143900",    "",   "€",        "15",    "45",   "EUR","21","12/31/2015"
# Luxembourg removed due to an issue with Terms and Conditions until further notice b/18373394
# "OT_SPEND_X_GET_Y","LU","BASIC",  "104301","143900",    "",   "€",        "25",    "75",   "EUR","21","12/31/2015"
# "OT_SPEND_X_GET_Y","LU","PARTNER","103503","143900",    "",   "€",        "25",    "75",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","LV","BASIC",  "104301","143900",   "€",    "",        "10",    "40",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","LV","PARTNER","103503","143900",   "€",    "",        "10",    "40",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","LY","BASIC",  "104301","143900",   "$",    "",        "10",    "30",   "USD","21","12/31/2015"
"OT_SPEND_X_GET_Y","LY","PARTNER","103503","143900",   "$",    "",        "10",    "30",   "USD","21","12/31/2015"
"OT_SPEND_X_GET_Y","MA","BASIC",  "104301","143900",   "$",    "",        "10",    "30",   "USD","21","12/31/2015"
"OT_SPEND_X_GET_Y","MA","PARTNER","103503","143900",   "$",    "",        "10",    "30",   "USD","21","12/31/2015"
"OT_SPEND_X_GET_Y","ME","BASIC",  "104301","143900",   "€",    "",        "10",    "40",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","ME","PARTNER","103503","143900",   "€",    "",        "10",    "40",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","MK","BASIC",  "104301","143900",   "$",    "",        "10",    "30",   "USD","21","12/31/2015"
"OT_SPEND_X_GET_Y","MK","PARTNER","103503","143900",   "$",    "",        "10",    "30",   "USD","21","12/31/2015"
"OT_SPEND_X_GET_Y","MY","BASIC",  "104301","143900",  "RM",    "",        "50",   "150",    "MY","21","12/31/2015"
"OT_SPEND_X_GET_Y","MY","PARTNER","103503","143900",  "RM",    "",        "50",   "150",    "MY","21","12/31/2015"
"OT_SPEND_X_GET_Y","NL","BASIC",  "104301","143900",    "",   "€",        "25",    "75",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","NL","PARTNER","103503","143900",    "",   "€",        "25",    "75",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","NO","BASIC",  "104301","143900",  "kr",    "",       "250",   "750",    "NO","21","12/31/2015"
"OT_SPEND_X_GET_Y","NO","PARTNER","103503","143900",  "kr",    "",       "250",   "750",    "NO","21","12/31/2015"
"OT_SPEND_X_GET_Y","NZ","BASIC",  "104301","143900",  "A$",    "",        "25",   "100",   "AUD","21","12/31/2015"
"OT_SPEND_X_GET_Y","NZ","PARTNER","103503","143900",  "A$",    "",        "25",   "100",   "AUD","21","12/31/2015"
"OT_SPEND_X_GET_Y","OM","BASIC",  "104301","143900",   "$",    "",        "25",    "75",   "USD","21","12/31/2015"
"OT_SPEND_X_GET_Y","OM","PARTNER","103503","143900",   "$",    "",        "25",    "75",   "USD","21","12/31/2015"
"OT_SPEND_X_GET_Y","PE","BASIC",  "104301","143900",   "$",    "",        "15",    "50",   "USD","21","12/31/2015"
"OT_SPEND_X_GET_Y","PE","PARTNER","103503","143900",   "$",    "",        "15",    "50",   "USD","21","12/31/2015"
"OT_SPEND_X_GET_Y","PH","BASIC",  "104301","143900", "Php",    "",       "500",  "2000",    "PH","21","12/31/2015"
"OT_SPEND_X_GET_Y","PH","PARTNER","103503","143900", "Php",    "",       "500",  "2000",    "PH","21","12/31/2015"
"OT_SPEND_X_GET_Y","PK","BASIC",  "104301","143900",   "$",    "",        "15",    "45",   "USD","21","12/31/2015"
"OT_SPEND_X_GET_Y","PK","PARTNER","103503","143900",   "$",    "",        "15",    "45",   "USD","21","12/31/2015"
"OT_SPEND_X_GET_Y","PL","BASIC",  "104301","143900",    "",  "zł",       "100",   "250",   "PLN","21","12/31/2015"
"OT_SPEND_X_GET_Y","PL","PARTNER","103503","143900",    "",  "zł",       "100",   "250",   "PLN","21","12/31/2015"
"OT_SPEND_X_GET_Y","PS","BASIC",  "104301","143900",   "$",    "",        "25",    "75",   "USD","21","12/31/2015"
"OT_SPEND_X_GET_Y","PS","PARTNER","103503","143900",   "$",    "",        "25",    "75",   "USD","21","12/31/2015"
"OT_SPEND_X_GET_Y","PT","BASIC",  "104301","143900",   "€",    "",        "20",    "60",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","PT","PARTNER","103503","143900",   "€",    "",        "20",    "60",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","QA","BASIC",  "104301","143900",   "$",    "",        "25",    "75",   "USD","21","12/31/2015"
"OT_SPEND_X_GET_Y","QA","PARTNER","103503","143900",   "$",    "",        "25",    "75",   "USD","21","12/31/2015"
"OT_SPEND_X_GET_Y","RO","BASIC",  "104301","143900", "RON",    "",        "50",   "200",   "RON","21","12/31/2015"
"OT_SPEND_X_GET_Y","RO","PARTNER","103503","143900", "RON",    "",        "50",   "200",   "RON","21","12/31/2015"
"OT_SPEND_X_GET_Y","RS","BASIC",  "104301","143900",   "€",    "",        "10",    "40",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","RS","PARTNER","103503","143900",   "€",    "",        "10",    "40",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","RU","BASIC",  "104301","143900","руб.",    "",       "500",  "2000",    "RU","21","12/31/2015"
"OT_SPEND_X_GET_Y","RU","PARTNER","103503","143900","руб.",    "",       "500",  "2000",    "RU","21","12/31/2015"
"OT_SPEND_X_GET_Y","SA","BASIC",  "104301","143900",  "SR",    "",       "100",   "300",    "SA","21","12/31/2015"
"OT_SPEND_X_GET_Y","SA","PARTNER","103503","143900",  "SR",    "",       "100",   "300",    "SA","21","12/31/2015"
"OT_SPEND_X_GET_Y","SE","BASIC",  "104301","143900",  "kr",    "",       "250",   "750",    "KR","21","12/31/2015"
"OT_SPEND_X_GET_Y","SE","PARTNER","103503","143900",  "kr",    "",       "250",   "750",    "KR","21","12/31/2015"
"OT_SPEND_X_GET_Y","SG","BASIC",  "104301","143900",   "$",    "",        "25",    "75",    "SG","21","12/31/2015"
